"","X1","PROVINCIE","Matig_Veel","Hoelang_zit_stront_er_al_in","Poepsterkte"
"106","13","Noord Brabant","M","23 tot 30 jaar",33.12
"107","13","Gelderland","V","17 tot 23 jaar",30.72
"108","13","Overijssel","M","30 tot 40 jaar",36.48
"109","13","Zuid Holland","M","Ouder dan 40 jaar",40.64
"110","13","Noord Holland","V","23 tot 30 jaar",34.72
"111","13","Noord Holland","V","30 tot 40 jaar",38.4
"112","13","Noord Holland","V","Ouder dan 40 jaar",42.56
"113","13","Noord Brabant","V","23 tot 30 jaar",40
"114","13","Utrecht","V","23 tot 30 jaar",36.32
"115","13","Utrecht","V","17 tot 23 jaar",33.12
"116","13","Flevoland","V","23 tot 30 jaar",30.56
"117","13","Utrecht","V","Ouder dan 40 jaar",33.76
"118","13","Limburg","V","Ouder dan 40 jaar",42.72
"119","13","Flevoland","M","23 tot 30 jaar",30.24
"120","13","Noord Brabant","M","17 tot 23 jaar",42.56
"121","13","Utrecht","M","23 tot 30 jaar",44.64
"122","13","Zuid Holland","V","30 tot 40 jaar",35.04
"123","13","Noord Brabant","V","23 tot 30 jaar",39.36
"124","13","Utrecht","V","23 tot 30 jaar",40
"125","13","Noord Brabant","V","30 tot 40 jaar",42.72
"126","13","Noord Holland","M","23 tot 30 jaar",31.52
"127","13","Zuid Holland","V","17 tot 23 jaar",30.72
"128","13","Overijssel","V","Ouder dan 40 jaar",33.6
"129","13","Gelderland","V","Ouder dan 40 jaar",33.76
"130","13","Gelderland","V","Ouder dan 40 jaar",32
"131","13","Zuid Holland","M","23 tot 30 jaar",39.04
"132","13","Utrecht","V","Ouder dan 40 jaar",44.96
"133","13","Utrecht","V","Ouder dan 40 jaar",39.84
"134","13","Utrecht","V","Ouder dan 40 jaar",33.12
"135","13","Flevoland","V","23 tot 30 jaar",48.48
"136","13","Utrecht","V","30 tot 40 jaar",41.28
"137","13","Noord Holland","M","23 tot 30 jaar",34.56
"138","13","Utrecht","M","Ouder dan 40 jaar",33.12
"139","13","Gelderland","V","Ouder dan 40 jaar",33.6
"140","13","Noord Brabant","V","17 tot 23 jaar",41.12
"141","13","Overijssel","M","Ouder dan 40 jaar",35.84
"142","13","Utrecht","M","Ouder dan 40 jaar",33.12
"143","13","Overijssel","V","Ouder dan 40 jaar",34.4
"144","13","Gelderland","M","Ouder dan 40 jaar",38.24
"145","13","Zuid Holland","V","23 tot 30 jaar",33.92
"146","13","Zuid Holland","V","23 tot 30 jaar",37.12
"147","13","Noord Brabant","V","30 tot 40 jaar",43.84
"148","13","Gelderland","M","Ouder dan 40 jaar",43.04
"149","13","Noord Brabant","M","30 tot 40 jaar",33.44
"150","13","Noord Holland","V","30 tot 40 jaar",35.2
"151","13","Zuid Holland","V","23 tot 30 jaar",41.76
"152","13","Utrecht","V","23 tot 30 jaar",33.12
"153","13","Zuid Holland","M","30 tot 40 jaar",36.48
"154","13","Utrecht","V","30 tot 40 jaar",43.52
"155","13","Zuid Holland","M","17 tot 23 jaar",37.6
"156","13","Utrecht","V","Ouder dan 40 jaar",35.52
"157","13","Utrecht","V","30 tot 40 jaar",36.16
"158","13","Noord Brabant","V","30 tot 40 jaar",38.72
"159","13","Noord Holland","V","Ouder dan 40 jaar",43.2
"160","13","Limburg","V","23 tot 30 jaar",36.32
"161","13","Zuid Holland","V","Ouder dan 40 jaar",39.2
"162","13","Gelderland","V","Ouder dan 40 jaar",31.68
"163","13","Utrecht","V","Ouder dan 40 jaar",34.4
"164","13","Limburg","M","17 tot 23 jaar",30.88
"165","13","Limburg","V","17 tot 23 jaar",30.88
"166","13","Utrecht","M","23 tot 30 jaar",38.08
"167","13","Zuid Holland","V","23 tot 30 jaar",30.4
"168","13","Frysl<e2>n","V","23 tot 30 jaar",30.24
"169","13","Noord Holland","V","23 tot 30 jaar",40.16
"170","13","Noord Brabant","V","Ouder dan 40 jaar",32.48
"171","13","Noord Brabant","M","17 tot 23 jaar",34.24
"172","13","Zuid Holland","V","Ouder dan 40 jaar",34.88
"173","13","Utrecht","V","17 tot 23 jaar",35.04
"174","13","Utrecht","V","Ouder dan 40 jaar",34.24
"175","13","Zuid Holland","V","Ouder dan 40 jaar",34.72
"176","13","Zuid Holland","M","30 tot 40 jaar",32
"177","13","Utrecht","V","Ouder dan 40 jaar",35.36
"178","13","Utrecht","V","23 tot 30 jaar",38.08
"179","13","Zuid Holland","V","30 tot 40 jaar",43.84
"180","13","Noord Holland","V","30 tot 40 jaar",43.2
"181","13","Noord Holland","V","30 tot 40 jaar",42.4
"182","13","Zuid Holland","V","17 tot 23 jaar",39.68
"183","13","Utrecht","M","Ouder dan 40 jaar",32.8
"184","13","Zuid Holland","V","Ouder dan 40 jaar",35.04
"185","13","Zuid Holland","V","Ouder dan 40 jaar",34.56
"186","13","Gelderland","M","23 tot 30 jaar",34.24
"187","13","Gelderland","V","30 tot 40 jaar",31.68
"188","13","Noord Holland","V","23 tot 30 jaar",43.2
"189","13","Frysl<e2>n","V","23 tot 30 jaar",30.88
"190","13","Groningen","V","30 tot 40 jaar",34.08
"191","13","Zuid Holland","M","17 tot 23 jaar",36
"192","13","Utrecht","V","30 tot 40 jaar",33.12
"193","13","Noord Holland","V","30 tot 40 jaar",32
"194","13","Noord Holland","V","Ouder dan 40 jaar",32.96
"195","13","Flevoland","M","23 tot 30 jaar",31.2
"196","13","Zuid Holland","V","30 tot 40 jaar",36.64
"197","13","Utrecht","V","Ouder dan 40 jaar",34.24
"198","13","Noord Holland","V","23 tot 30 jaar",31.68
"199","13","Noord Brabant","M","17 tot 23 jaar",41.6
"200","13","Noord Holland","M","23 tot 30 jaar",34.56
"201","13","Zuid Holland","V","17 tot 23 jaar",38.08
"202","13","Zuid Holland","V","17 tot 23 jaar",32
"203","13","Utrecht","M","Ouder dan 40 jaar",32.8
"204","13","Noord Brabant","V","Ouder dan 40 jaar",35.04
"205","13","Zeeland","M","17 tot 23 jaar",40
"206","13","Utrecht","V","17 tot 23 jaar",52.16
"207","13","Noord Holland","V","Ouder dan 40 jaar",34.56
"208","13","Noord Holland","M","30 tot 40 jaar",34.72
"209","13","Utrecht","M","17 tot 23 jaar",33.44
"210","13","Zuid Holland","V","30 tot 40 jaar",35.2
"211","13","Utrecht","V","17 tot 23 jaar",44
"212","13","Noord Holland","V","17 tot 23 jaar",37.28
"213","13","Zuid Holland","V","30 tot 40 jaar",35.2
"214","13","Gelderland","M","Ouder dan 40 jaar",43.04
"215","13","Utrecht","M","Ouder dan 40 jaar",32.8
"216","13","Utrecht","V","Ouder dan 40 jaar",34.88
"217","13","Gelderland","V","Ouder dan 40 jaar",30.24
"218","13","Gelderland","V","Ouder dan 40 jaar",31.84
"219","13","Utrecht","V","23 tot 30 jaar",42.4
"220","13","Utrecht","V","Ouder dan 40 jaar",31.84
"221","13","Zuid Holland","V","30 tot 40 jaar",36.48
"222","13","Zuid Holland","V","23 tot 30 jaar",36.96
"223","13","Zuid Holland","V","Ouder dan 40 jaar",44.32
"224","13","Utrecht","V","Ouder dan 40 jaar",37.92
"225","13","Noord Holland","V","23 tot 30 jaar",34.56
"226","13","Noord Holland","M","23 tot 30 jaar",34.72
"227","13","Limburg","V","17 tot 23 jaar",39.52
"228","13","Gelderland","M","Ouder dan 40 jaar",43.68
"229","13","Zuid Holland","V","30 tot 40 jaar",36
"230","13","Noord Brabant","V","30 tot 40 jaar",33.92
"231","13","Zuid Holland","V","30 tot 40 jaar",35.04
"232","13","Noord Brabant","V","Ouder dan 40 jaar",37.12
"233","13","Zuid Holland","V","23 tot 30 jaar",32
"234","13","Limburg","V","23 tot 30 jaar",38.88
"235","13","Overijssel","V","Ouder dan 40 jaar",41.28
"236","13","Utrecht","M","Ouder dan 40 jaar",34.56
"237","13","Zuid Holland","V","17 tot 23 jaar",35.36
"238","13","Zuid Holland","V","23 tot 30 jaar",42.08
"239","13","Noord Holland","V","Ouder dan 40 jaar",44.48
"240","13","Utrecht","V","30 tot 40 jaar",33.12
"241","13","Limburg","M","30 tot 40 jaar",30.88
"242","13","Gelderland","M","23 tot 30 jaar",37.92
"243","13","Noord Holland","V","23 tot 30 jaar",44
"244","13","Overijssel","V","Ouder dan 40 jaar",31.2
"245","13","Limburg","V","23 tot 30 jaar",38.24
"246","13","Noord Brabant","V","17 tot 23 jaar",35.04
"247","13","Noord Holland","V","30 tot 40 jaar",36.16
"248","13","Gelderland","V","17 tot 23 jaar",34.88
"249","13","Noord Brabant","V","Ouder dan 40 jaar",43.2
"250","13","Noord Holland","V","Ouder dan 40 jaar",32
"251","13","Gelderland","V","Ouder dan 40 jaar",34.4
"252","13","Overijssel","V","23 tot 30 jaar",36.8
"253","13","Utrecht","V","17 tot 23 jaar",38.08
"254","13","Noord Brabant","V","Ouder dan 40 jaar",40.64
"255","13","Gelderland","V","Ouder dan 40 jaar",41.6
"256","13","Noord Holland","V","30 tot 40 jaar",38.4
"257","13","Noord Brabant","V","30 tot 40 jaar",43.2
"258","13","Utrecht","M","Ouder dan 40 jaar",33.12
"259","13","Noord Brabant","V","Ouder dan 40 jaar",32.8
"260","13","Zuid Holland","M","17 tot 23 jaar",34.56
"261","13","Zuid Holland","V","17 tot 23 jaar",33.12
"262","13","Zuid Holland","V","17 tot 23 jaar",38.08
"263","13","Noord Holland","V","17 tot 23 jaar",32
"264","13","Zuid Holland","V","23 tot 30 jaar",35.04
"265","13","Noord Holland","M","23 tot 30 jaar",32.16
"266","13","Gelderland","V","Ouder dan 40 jaar",41.76
"267","13","Zuid Holland","M","23 tot 30 jaar",40.96
"268","13","Flevoland","V","23 tot 30 jaar",32
"269","13","Utrecht","M","23 tot 30 jaar",36
"270","13","Noord Brabant","V","23 tot 30 jaar",42.24
"271","13","Noord Brabant","V","30 tot 40 jaar",34.56
"272","13","Gelderland","M","23 tot 30 jaar",30.88
"273","13","Zuid Holland","M","Ouder dan 40 jaar",37.12
"274","13","Noord Brabant","V","30 tot 40 jaar",38.24
"275","13","Overijssel","V","30 tot 40 jaar",44.32
"276","13","Zuid Holland","V","23 tot 30 jaar",34.88
"277","13","Noord Holland","M","23 tot 30 jaar",46.88
"278","13","Utrecht","M","23 tot 30 jaar",34.56
"279","13","Noord Holland","V","30 tot 40 jaar",41.6
"280","13","Noord Brabant","M","23 tot 30 jaar",35.52
"281","13","Flevoland","M","17 tot 23 jaar",52.64
"282","13","Zuid Holland","M","30 tot 40 jaar",46.08
"283","13","Flevoland","V","23 tot 30 jaar",45.92
"284","13","Utrecht","M","Ouder dan 40 jaar",32.8
"285","13","Noord Holland","V","Ouder dan 40 jaar",31.36
"286","13","Gelderland","V","Ouder dan 40 jaar",33.44
"287","13","Zuid Holland","V","30 tot 40 jaar",32
"288","13","Zuid Holland","V","23 tot 30 jaar",32.16
"289","13","Overijssel","V","23 tot 30 jaar",34.88
"290","13","Zuid Holland","V","Ouder dan 40 jaar",32.32
"291","13","Noord Brabant","M","23 tot 30 jaar",40.96
"292","13","Utrecht","M","30 tot 40 jaar",31.68
"293","13","Gelderland","V","23 tot 30 jaar",30.72
"294","13","Overijssel","V","17 tot 23 jaar",32.96
"295","13","Gelderland","V","23 tot 30 jaar",38.72
"296","13","Utrecht","M","23 tot 30 jaar",34.08
"297","13","Utrecht","V","23 tot 30 jaar",36.32
"298","13","Zuid Holland","V","Ouder dan 40 jaar",32.16
"299","13","Flevoland","V","30 tot 40 jaar",43.84
"300","13","Zuid Holland","M","23 tot 30 jaar",43.2
"301","13","Noord Brabant","V","30 tot 40 jaar",36
"302","13","Utrecht","V","Ouder dan 40 jaar",31.2
"303","13","Utrecht","V","30 tot 40 jaar",31.68
"304","13","Zeeland","V","30 tot 40 jaar",36.8
"305","13","Zuid Holland","M","Ouder dan 40 jaar",42.4
"306","13","Flevoland","M","30 tot 40 jaar",40.8
"307","13","Zuid Holland","M","17 tot 23 jaar",49.6
"308","13","Noord Holland","V","Ouder dan 40 jaar",44.48
"309","13","Gelderland","V","Ouder dan 40 jaar",35.52
