"","X1","PROVINCIE","Matig_Veel","Hoelang_zit_stront_er_al_in","Poepsterkte"
"3009","13","Limburg","V","23 tot 30 jaar",37.28
"3010","13","Flevoland","V","Ouder dan 40 jaar",37.12
"3011","13","Zuid Holland","V","17 tot 23 jaar",33.28
"3012","13","Noord Brabant","M","30 tot 40 jaar",41.44
"3013","13","Zuid Holland","V","17 tot 23 jaar",36.16
"3014","13","Noord Brabant","M","23 tot 30 jaar",41.44
"3015","13","Gelderland","M","Ouder dan 40 jaar",35.04
"3016","13","Zuid Holland","V","Ouder dan 40 jaar",31.2
"3017","13","Noord Holland","M","23 tot 30 jaar",38.88
"3018","13","Frysl<e2>n","M","Ouder dan 40 jaar",47.2
"3019","13","Gelderland","M","23 tot 30 jaar",31.04
"3020","13","Noord Brabant","V","17 tot 23 jaar",43.84
"3021","13","Utrecht","O","Ouder dan 40 jaar",30.88
"3022","13","Groningen","V","Ouder dan 40 jaar",32.8
"3023","13","Noord Holland","M","17 tot 23 jaar",35.36
"3024","13","Gelderland","M","23 tot 30 jaar",32
"3025","13","Groningen","M","Ouder dan 40 jaar",30.88
"3026","13","Utrecht","V","17 tot 23 jaar",37.44
"3027","13","Zuid Holland","V","Ouder dan 40 jaar",35.04
"3028","13","Noord Holland","V","Ouder dan 40 jaar",43.84
"3029","13","Utrecht","V","30 tot 40 jaar",39.36
"3030","13","Noord Holland","V","30 tot 40 jaar",47.52
"3031","13","Noord Holland","V","17 tot 23 jaar",32
"3032","13","Utrecht","M","23 tot 30 jaar",35.84
"3033","13","Noord Holland","M","30 tot 40 jaar",32
"3034","13","Noord Holland","V","Ouder dan 40 jaar",42.24
"3035","13","Frysl<e2>n","V","Ouder dan 40 jaar",33.92
"3036","13","Flevoland","V","Ouder dan 40 jaar",49.6
"3037","13","Zuid Holland","V","Ouder dan 40 jaar",32.96
"3038","13","Noord Holland","V","Ouder dan 40 jaar",31.04
"3039","13","Zuid Holland","V","17 tot 23 jaar",43.84
"3040","13","Noord Brabant","V","Ouder dan 40 jaar",37.28
"3041","13","Zeeland","V","23 tot 30 jaar",32.96
"3042","13","Zuid Holland","V","23 tot 30 jaar",43.04
"3043","13","Noord Holland","V","23 tot 30 jaar",31.84
"3044","13","Noord Brabant","V","17 tot 23 jaar",45.92
"3045","13","Noord Holland","M","30 tot 40 jaar",32
"3046","13","Flevoland","V","17 tot 23 jaar",30.56
"3047","13","Gelderland","V","23 tot 30 jaar",44.32
"3048","13","Noord Holland","V","23 tot 30 jaar",33.44
"3049","13","Utrecht","M","Ouder dan 40 jaar",30.88
"3050","13","Noord Brabant","V","Ouder dan 40 jaar",33.28
"3051","13","Zuid Holland","V","23 tot 30 jaar",43.04
"3052","13","Flevoland","V","Ouder dan 40 jaar",40
"3053","13","Utrecht","V","30 tot 40 jaar",35.68
"3054","13","Noord Holland","M","23 tot 30 jaar",35.52
"3055","13","Overijssel","V","30 tot 40 jaar",41.12
"3056","13","Overijssel","V","30 tot 40 jaar",32.32
"3057","13","Noord Brabant","V","23 tot 30 jaar",43.68
"3058","13","Drenthe","V","30 tot 40 jaar",40.96
"3059","13","Noord Holland","V","Ouder dan 40 jaar",30.88
"3060","13","Utrecht","M","Ouder dan 40 jaar",32.8
"3061","13","Noord Holland","V","30 tot 40 jaar",35.52
"3062","13","Gelderland","M","30 tot 40 jaar",32.16
"3063","13","Utrecht","M","17 tot 23 jaar",36.64
"3064","13","Noord Holland","V","Ouder dan 40 jaar",36.48
"3065","13","Zuid Holland","V","23 tot 30 jaar",35.52
"3066","13","Noord Holland","V","Ouder dan 40 jaar",32.16
"3067","13","Utrecht","M","Ouder dan 40 jaar",30.88
"3068","13","Gelderland","V","30 tot 40 jaar",32.96
"3069","13","Zuid Holland","V","23 tot 30 jaar",41.44
"3070","13","Noord Brabant","M","23 tot 30 jaar",40.64
"3071","13","Zuid Holland","V","Ouder dan 40 jaar",31.52
"3072","13","Noord Holland","V","23 tot 30 jaar",32.96
"3073","13","Noord Brabant","V","23 tot 30 jaar",37.12
"3074","13","Zuid Holland","V","Ouder dan 40 jaar",37.28
"3075","13","Noord Brabant","V","17 tot 23 jaar",36.48
"3076","13","Noord Brabant","V","30 tot 40 jaar",53.6
"3077","13","Gelderland","V","Ouder dan 40 jaar",34.88
"3078","13","Utrecht","V","17 tot 23 jaar",33.92
"3079","13","Frysl<e2>n","V","23 tot 30 jaar",34.72
"3080","13","Noord Holland","M","23 tot 30 jaar",30.72
"3081","13","Zuid Holland","V","23 tot 30 jaar",31.2
"3082","13","Noord Holland","V","23 tot 30 jaar",33.92
"3083","13","Zuid Holland","V","30 tot 40 jaar",36
"3084","13","Noord Holland","V","17 tot 23 jaar",37.12
"3085","13","Zuid Holland","V","23 tot 30 jaar",39.68
"3086","13","Zeeland","V","30 tot 40 jaar",35.52
"3087","13","Noord Holland","V","30 tot 40 jaar",40
"3088","13","Utrecht","V","23 tot 30 jaar",32.8
"3089","13","Limburg","V","30 tot 40 jaar",36.16
"3090","13","Utrecht","O","Ouder dan 40 jaar",30.88
"3091","13","Zuid Holland","V","17 tot 23 jaar",33.92
"3092","13","Zeeland","V","30 tot 40 jaar",42.88
"3093","13","Noord Holland","M","17 tot 23 jaar",31.04
"3094","13","Zuid Holland","V","17 tot 23 jaar",36.64
"3095","13","Overijssel","V","30 tot 40 jaar",39.68
"3096","13","Utrecht","V","23 tot 30 jaar",38.56
"3097","13","Zuid Holland","V","23 tot 30 jaar",37.28
"3098","13","Gelderland","V","23 tot 30 jaar",31.04
"3099","13","Limburg","M","30 tot 40 jaar",38.88
"3100","13","Zuid Holland","V","30 tot 40 jaar",37.44
"3101","13","Noord Holland","V","Ouder dan 40 jaar",42.24
"3102","13","Zuid Holland","V","Ouder dan 40 jaar",43.2
"3103","13","Zuid Holland","V","30 tot 40 jaar",33.92
"3104","13","Utrecht","V","23 tot 30 jaar",31.52
"3105","13","Noord Holland","M","23 tot 30 jaar",46.56
"3106","13","Frysl<e2>n","V","17 tot 23 jaar",44.64
"3107","13","Noord Brabant","V","23 tot 30 jaar",31.52
"3108","13","Zuid Holland","V","30 tot 40 jaar",42.24
"3109","13","Gelderland","M","Ouder dan 40 jaar",43.04
"3110","13","Gelderland","V","Ouder dan 40 jaar",38.08
"3111","13","Utrecht","V","23 tot 30 jaar",32.8
"3112","13","Frysl<e2>n","M","Ouder dan 40 jaar",33.12
"3113","13","Overijssel","M","23 tot 30 jaar",34.88
"3114","13","Utrecht","M","23 tot 30 jaar",32.48
"3115","13","Utrecht","V","23 tot 30 jaar",38.4
"3116","13","Noord Holland","V","30 tot 40 jaar",41.12
"3117","13","Utrecht","M","17 tot 23 jaar",32.48
"3118","13","Utrecht","M","30 tot 40 jaar",37.92
"3119","13","Utrecht","M","30 tot 40 jaar",38.4
"3120","13","Noord Holland","V","Ouder dan 40 jaar",30.88
"3121","13","Utrecht","M","30 tot 40 jaar",36.8
"3122","13","Noord Brabant","V","17 tot 23 jaar",32.32
"3123","13","Flevoland","M","17 tot 23 jaar",35.52
"3124","13","Flevoland","V","Ouder dan 40 jaar",35.84
"3125","13","Noord Holland","M","Ouder dan 40 jaar",32.8
"3126","13","Limburg","V","23 tot 30 jaar",38.24
"3127","13","Gelderland","V","Ouder dan 40 jaar",39.36
"3128","13","Flevoland","V","30 tot 40 jaar",33.44
"3129","13","Zuid Holland","M","17 tot 23 jaar",37.28
"3130","13","Flevoland","M","17 tot 23 jaar",33.44
"3131","13","Zuid Holland","V","17 tot 23 jaar",42.08
"3132","13","Noord Holland","M","17 tot 23 jaar",46.4
"3133","13","Limburg","M","30 tot 40 jaar",31.52
"3134","13","Noord Brabant","V","23 tot 30 jaar",30.56
"3135","13","Utrecht","V","23 tot 30 jaar",34.08
"3136","13","Zuid Holland","V","23 tot 30 jaar",39.2
"3137","13","Zuid Holland","V","23 tot 30 jaar",36.48
"3138","13","Zuid Holland","M","30 tot 40 jaar",32
"3139","13","Utrecht","M","23 tot 30 jaar",35.84
"3140","13","Zuid Holland","V","30 tot 40 jaar",36.48
"3141","13","Noord Brabant","V","30 tot 40 jaar",36.16
"3142","13","Zuid Holland","V","Ouder dan 40 jaar",39.84
"3143","13","Frysl<e2>n","M","23 tot 30 jaar",43.52
"3144","13","Zeeland","M","17 tot 23 jaar",31.52
"3145","13","Noord Holland","M","17 tot 23 jaar",33.28
"3146","13","Zuid Holland","V","23 tot 30 jaar",40.48
"3147","13","Noord Holland","V","23 tot 30 jaar",32
"3148","13","Noord Holland","M","Ouder dan 40 jaar",38.72
"3149","13","Noord Holland","M","17 tot 23 jaar",38.72
"3150","13","Noord Holland","V","23 tot 30 jaar",35.36
"3151","13","Utrecht","V","30 tot 40 jaar",46.4
"3152","13","Utrecht","M","Ouder dan 40 jaar",35.84
"3153","13","Groningen","V","23 tot 30 jaar",37.28
"3154","13","Frysl<e2>n","V","30 tot 40 jaar",38.56
"3155","13","Zuid Holland","V","30 tot 40 jaar",32.48
"3156","13","Noord Holland","M","Ouder dan 40 jaar",30.88
"3157","13","Noord Brabant","V","23 tot 30 jaar",45.92
"3158","13","Zuid Holland","M","23 tot 30 jaar",38.4
"3159","13","Noord Brabant","V","23 tot 30 jaar",39.68
"3160","13","Utrecht","V","17 tot 23 jaar",41.12
"3161","13","Utrecht","M","17 tot 23 jaar",32.48
"3162","13","Flevoland","V","23 tot 30 jaar",35.84
"3163","13","Gelderland","V","Ouder dan 40 jaar",37.28
"3164","13","Gelderland","M","17 tot 23 jaar",37.6
"3165","13","Noord Holland","V","23 tot 30 jaar",32.48
"3166","13","Noord Holland","V","23 tot 30 jaar",43.04
"3167","13","Flevoland","V","23 tot 30 jaar",34.72
"3168","13","Frysl<e2>n","V","17 tot 23 jaar",41.12
"3169","13","Gelderland","M","Ouder dan 40 jaar",43.04
"3170","13","Overijssel","V","30 tot 40 jaar",31.68
"3171","13","Zuid Holland","V","17 tot 23 jaar",32
"3172","13","Gelderland","M","Ouder dan 40 jaar",43.04
"3173","13","Utrecht","V","30 tot 40 jaar",30.72
"3174","13","Zuid Holland","V","23 tot 30 jaar",41.44
"3175","13","Noord Brabant","V","23 tot 30 jaar",43.84
"3176","13","Gelderland","V","23 tot 30 jaar",30.72
"3177","13","Groningen","V","23 tot 30 jaar",36.64
"3178","13","Drenthe","V","30 tot 40 jaar",39.84
"3179","13","Gelderland","V","Ouder dan 40 jaar",35.36
"3180","13","Noord Holland","V","17 tot 23 jaar",31.84
"3181","13","Overijssel","V","30 tot 40 jaar",43.68
"3182","13","Utrecht","M","Ouder dan 40 jaar",35.84
"3183","13","Gelderland","V","Ouder dan 40 jaar",35.52
"3184","13","Utrecht","V","23 tot 30 jaar",41.12
"3185","13","Flevoland","M","30 tot 40 jaar",36.64
"3186","13","Gelderland","V","23 tot 30 jaar",35.52
"3187","13","Utrecht","M","23 tot 30 jaar",35.84
"3188","13","Utrecht","V","Ouder dan 40 jaar",35.84
"3189","13","Utrecht","V","Ouder dan 40 jaar",30.88
"3190","13","Zuid Holland","M","23 tot 30 jaar",36.96
"3191","13","Zeeland","V","17 tot 23 jaar",36.32
"3192","13","Utrecht","V","30 tot 40 jaar",32.64
"3193","13","Noord Holland","M","23 tot 30 jaar",43.84
"3194","13","Zuid Holland","M","30 tot 40 jaar",42.56
"3195","13","Utrecht","M","Ouder dan 40 jaar",30.88
"3196","13","Noord Holland","V","17 tot 23 jaar",30.88
"3197","13","Utrecht","V","Ouder dan 40 jaar",34.4
"3198","13","Zuid Holland","V","30 tot 40 jaar",39.52
"3199","13","Frysl<e2>n","V","Ouder dan 40 jaar",39.2
"3200","13","Zuid Holland","M","23 tot 30 jaar",31.36
"3201","13","Zuid Holland","V","30 tot 40 jaar",41.92
"3202","13","Utrecht","M","Ouder dan 40 jaar",32.8
"3203","13","Utrecht","M","Ouder dan 40 jaar",32.8
"3204","13","Gelderland","V","Ouder dan 40 jaar",30.72
"3205","13","Utrecht","V","Ouder dan 40 jaar",30.88
"3206","13","Zuid Holland","O","23 tot 30 jaar",30.72
"3207","13","Gelderland","V","Ouder dan 40 jaar",42.56
"3208","13","Zuid Holland","V","30 tot 40 jaar",33.44
"3209","13","Utrecht","V","Ouder dan 40 jaar",32.8
"3210","13","Gelderland","V","Ouder dan 40 jaar",43.04
"3211","13","Zuid Holland","V","Ouder dan 40 jaar",49.44
"3212","13","Noord Brabant","M","30 tot 40 jaar",44.64
"3213","13","Noord Brabant","M","17 tot 23 jaar",40.32
"3214","13","Gelderland","M","Ouder dan 40 jaar",43.04
"3215","13","Groningen","M","23 tot 30 jaar",32.16
"3216","13","Noord Brabant","M","17 tot 23 jaar",41.44
"3217","13","Zuid Holland","V","30 tot 40 jaar",37.44
"3218","13","Gelderland","V","30 tot 40 jaar",34.72
"3219","13","Utrecht","V","17 tot 23 jaar",52.16
"3220","13","Utrecht","M","17 tot 23 jaar",34.08
"3221","13","Frysl<e2>n","V","Ouder dan 40 jaar",34.4
"3222","13","Utrecht","V","23 tot 30 jaar",32.48
"3223","13","Zuid Holland","V","23 tot 30 jaar",33.6
"3224","13","Zuid Holland","V","30 tot 40 jaar",45.44
"3225","13","Utrecht","V","17 tot 23 jaar",52.16
"3226","13","Gelderland","V","Ouder dan 40 jaar",41.28
"3227","13","Groningen","M","17 tot 23 jaar",30.88
"3228","13","Zuid Holland","V","23 tot 30 jaar",39.68
"3229","13","Utrecht","M","Ouder dan 40 jaar",33.76
"3230","13","Gelderland","V","23 tot 30 jaar",33.76
"3231","13","Gelderland","V","Ouder dan 40 jaar",32.16
"3232","13","Utrecht","M","Ouder dan 40 jaar",35.84
"3233","13","Utrecht","V","Ouder dan 40 jaar",31.2
"3234","13","Noord Holland","V","23 tot 30 jaar",35.68
"3235","13","Utrecht","M","23 tot 30 jaar",39.2
"3236","13","Utrecht","V","23 tot 30 jaar",32.48
"3237","13","Flevoland","V","23 tot 30 jaar",38.72
"3238","13","Noord Holland","V","30 tot 40 jaar",33.28
"3239","13","Zuid Holland","M","23 tot 30 jaar",41.44
"3240","13","Utrecht","V","Ouder dan 40 jaar",44.16
"3241","13","Overijssel","V","Ouder dan 40 jaar",37.92
"3242","13","Gelderland","V","23 tot 30 jaar",34.08
"3243","13","Utrecht","M","23 tot 30 jaar",36.16
"3244","13","Gelderland","V","23 tot 30 jaar",38.08
"3245","13","Zuid Holland","V","23 tot 30 jaar",46.24
"3246","13","Groningen","V","Ouder dan 40 jaar",33.6
"3247","13","Zuid Holland","M","30 tot 40 jaar",36.32
"3248","13","Noord Brabant","V","30 tot 40 jaar",34.08
"3249","13","Utrecht","V","Ouder dan 40 jaar",33.76
"3250","13","Utrecht","M","Ouder dan 40 jaar",30.88
"3251","13","Zuid Holland","V","30 tot 40 jaar",40.16
"3252","13","Zuid Holland","V","23 tot 30 jaar",39.04
"3253","13","Drenthe","V","Ouder dan 40 jaar",30.24
"3254","13","Limburg","V","30 tot 40 jaar",37.44
"3255","13","Noord Brabant","M","Ouder dan 40 jaar",30.4
"3256","13","Zuid Holland","M","23 tot 30 jaar",32.16
"3257","13","Overijssel","M","23 tot 30 jaar",40.32
"3258","13","Flevoland","V","17 tot 23 jaar",31.36
"3259","13","Noord Holland","V","Ouder dan 40 jaar",32.96
"3260","13","Utrecht","V","30 tot 40 jaar",36.8
"3261","13","Frysl<e2>n","V","23 tot 30 jaar",42.4
"3262","13","Overijssel","V","Ouder dan 40 jaar",47.36
"3263","13","Noord Brabant","V","30 tot 40 jaar",31.52
"3264","13","Zuid Holland","V","30 tot 40 jaar",34.88
"3265","13","Gelderland","M","23 tot 30 jaar",42.72
"3266","13","Utrecht","M","23 tot 30 jaar",35.84
"3267","13","Utrecht","M","Ouder dan 40 jaar",36
"3268","13","Noord Holland","V","30 tot 40 jaar",30.88
"3269","13","Utrecht","V","23 tot 30 jaar",37.6
"3270","13","Zuid Holland","M","23 tot 30 jaar",37.28
"3271","13","Utrecht","O","23 tot 30 jaar",35.84
"3272","13","Gelderland","V","23 tot 30 jaar",37.76
"3273","13","Noord Brabant","V","30 tot 40 jaar",33.28
"3274","13","Flevoland","M","30 tot 40 jaar",39.52
"3275","13","Noord Holland","V","Ouder dan 40 jaar",42.72
"3276","13","Noord Brabant","M","23 tot 30 jaar",43.2
"3277","13","Zuid Holland","V","23 tot 30 jaar",33.76
"3278","13","Noord Holland","M","17 tot 23 jaar",36.48
"3279","13","Zuid Holland","V","17 tot 23 jaar",30.56
"3280","13","Zuid Holland","V","30 tot 40 jaar",33.76
"3281","13","Gelderland","M","30 tot 40 jaar",32.8
"3282","13","Utrecht","V","17 tot 23 jaar",32.32
"3283","13","Limburg","V","Ouder dan 40 jaar",31.52
"3284","13","Overijssel","V","23 tot 30 jaar",34.56
"3285","13","Limburg","O","Ouder dan 40 jaar",36
"3286","13","Zeeland","M","23 tot 30 jaar",30.4
"3287","13","Limburg","M","23 tot 30 jaar",32.16
"3288","13","Overijssel","V","23 tot 30 jaar",31.84
"3289","13","Noord Holland","V","Ouder dan 40 jaar",38.56
"3290","13","Limburg","V","23 tot 30 jaar",33.6
"3291","13","Utrecht","V","30 tot 40 jaar",38.72
"3292","13","Zuid Holland","V","23 tot 30 jaar",40.32
"3293","13","Zeeland","V","23 tot 30 jaar",40.64
"3294","13","Zuid Holland","M","30 tot 40 jaar",44.48
"3295","13","Noord Brabant","V","17 tot 23 jaar",41.92
"3296","13","Utrecht","M","30 tot 40 jaar",39.04
"3297","13","Utrecht","V","Ouder dan 40 jaar",37.6
"3298","13","Utrecht","V","23 tot 30 jaar",30.56
"3299","13","Utrecht","V","Ouder dan 40 jaar",30.88
"3300","13","Zuid Holland","V","30 tot 40 jaar",43.2
"3301","13","Noord Brabant","V","Ouder dan 40 jaar",30.72
"3302","13","Noord Holland","V","30 tot 40 jaar",34.56
"3303","13","Zeeland","M","23 tot 30 jaar",42.24
"3304","13","Gelderland","M","17 tot 23 jaar",32.32
"3305","13","Limburg","V","17 tot 23 jaar",38.08
"3306","13","Zuid Holland","V","30 tot 40 jaar",33.6
"3307","13","Noord Brabant","V","Ouder dan 40 jaar",35.36
"3308","13","Noord Holland","V","23 tot 30 jaar",32.48
"3309","13","Noord Holland","M","Ouder dan 40 jaar",47.52
"3310","13","Noord Holland","V","30 tot 40 jaar",47.52
"3311","13","Utrecht","M","30 tot 40 jaar",42.56
"3312","13","Zuid Holland","V","23 tot 30 jaar",43.2
"3313","13","Zuid Holland","V","23 tot 30 jaar",36.32
"3314","13","Noord Holland","V","Ouder dan 40 jaar",30.4
"3315","13","Zuid Holland","M","23 tot 30 jaar",34.56
"3316","13","Noord Holland","V","17 tot 23 jaar",36.16
"3317","13","Utrecht","M","Ouder dan 40 jaar",33.12
"3318","13","Noord Holland","V","23 tot 30 jaar",41.28
"3319","13","Zuid Holland","M","17 tot 23 jaar",34.08
"3320","13","Zuid Holland","O","17 tot 23 jaar",39.52
"3321","13","Utrecht","M","Ouder dan 40 jaar",34.56
"3322","13","Noord Holland","V","Ouder dan 40 jaar",32.64
"3323","13","Frysl<e2>n","V","23 tot 30 jaar",30.88
"3324","13","Noord Holland","V","Ouder dan 40 jaar",30.88
"3325","13","Limburg","M","23 tot 30 jaar",32.16
"3326","13","Limburg","M","23 tot 30 jaar",37.44
"3327","13","Gelderland","V","Ouder dan 40 jaar",43.04
"3328","13","Gelderland","M","Ouder dan 40 jaar",43.04
"3329","13","Limburg","V","30 tot 40 jaar",38.08
"3330","13","Flevoland","V","30 tot 40 jaar",38.4
"3331","13","Zuid Holland","V","30 tot 40 jaar",42.24
"3332","13","Utrecht","V","Ouder dan 40 jaar",54.72
"3333","13","Gelderland","V","23 tot 30 jaar",41.6
"3334","13","Noord Brabant","M","Ouder dan 40 jaar",34.4
"3335","13","Zuid Holland","V","17 tot 23 jaar",37.28
"3336","13","Zuid Holland","V","30 tot 40 jaar",36.32
"3337","13","Noord Brabant","M","17 tot 23 jaar",40
"3338","13","Noord Holland","M","23 tot 30 jaar",37.44
"3339","13","Noord Holland","V","30 tot 40 jaar",30.88
"3340","13","Zuid Holland","V","30 tot 40 jaar",34.24
"3341","13","Zuid Holland","M","23 tot 30 jaar",33.28
"3342","13","Zuid Holland","V","23 tot 30 jaar",40.16
"3343","13","Noord Brabant","V","23 tot 30 jaar",45.76
"3344","13","Drenthe","M","30 tot 40 jaar",40.96
"3345","13","Utrecht","V","17 tot 23 jaar",30.72
"3346","13","Utrecht","M","17 tot 23 jaar",35.36
"3347","13","Frysl<e2>n","V","Ouder dan 40 jaar",30.24
"3348","13","Frysl<e2>n","V","23 tot 30 jaar",38.24
"3349","13","Noord Brabant","V","23 tot 30 jaar",30.4
"3350","13","Zuid Holland","V","23 tot 30 jaar",35.36
"3351","13","Zuid Holland","V","30 tot 40 jaar",44.48
"3352","13","Zeeland","V","23 tot 30 jaar",39.68
"3353","13","Noord Brabant","V","Ouder dan 40 jaar",32.96
"3354","13","Noord Brabant","V","Ouder dan 40 jaar",30.56
"3355","13","Gelderland","V","Ouder dan 40 jaar",43.04
"3356","13","Zuid Holland","V","17 tot 23 jaar",41.28
"3357","13","Noord Brabant","V","30 tot 40 jaar",34.24
"3358","13","Gelderland","M","23 tot 30 jaar",35.52
"3359","13","Utrecht","V","Ouder dan 40 jaar",38.72
"3360","13","Zuid Holland","V","23 tot 30 jaar",34.56
"3361","13","Noord Brabant","V","23 tot 30 jaar",39.36
"3362","13","Zuid Holland","V","23 tot 30 jaar",34.24
"3363","13","Limburg","M","17 tot 23 jaar",36.32
"3364","13","Utrecht","V","23 tot 30 jaar",35.84
"3365","13","Noord Holland","M","Ouder dan 40 jaar",32.16
"3366","13","Utrecht","V","23 tot 30 jaar",31.2
"3367","13","Zuid Holland","V","30 tot 40 jaar",45.92
"3368","13","Frysl<e2>n","V","17 tot 23 jaar",34.88
"3369","13","Utrecht","V","23 tot 30 jaar",40.8
"3370","13","Noord Holland","V","23 tot 30 jaar",43.84
"3371","13","Utrecht","M","Ouder dan 40 jaar",30.88
"3372","13","Noord Brabant","M","23 tot 30 jaar",33.6
"3373","13","Overijssel","V","23 tot 30 jaar",35.84
"3374","13","Utrecht","V","Ouder dan 40 jaar",33.12
"3375","13","Noord Holland","V","Ouder dan 40 jaar",37.12
"3376","13","Flevoland","V","30 tot 40 jaar",39.84
"3377","13","Noord Holland","V","17 tot 23 jaar",30.88
"3378","13","Zuid Holland","V","23 tot 30 jaar",37.44
"3379","13","Zuid Holland","M","17 tot 23 jaar",32.32
"3380","13","Gelderland","V","Ouder dan 40 jaar",44.32
"3381","13","Utrecht","V","30 tot 40 jaar",42.4
"3382","13","Frysl<e2>n","M","30 tot 40 jaar",33.76
"3383","13","Zuid Holland","V","23 tot 30 jaar",40.16
"3384","13","Zeeland","V","17 tot 23 jaar",31.04
"3385","13","Noord Holland","V","23 tot 30 jaar",32
"3386","13","Utrecht","V","Ouder dan 40 jaar",44.96
"3387","13","Gelderland","M","17 tot 23 jaar",31.04
"3388","13","Gelderland","V","23 tot 30 jaar",38.08
"3389","13","Noord Brabant","M","23 tot 30 jaar",42.56
"3390","13","Noord Brabant","V","30 tot 40 jaar",33.12
"3391","13","Limburg","V","23 tot 30 jaar",35.36
"3392","13","Utrecht","M","23 tot 30 jaar",35.84
"3393","13","Groningen","V","17 tot 23 jaar",40
"3394","13","Gelderland","M","30 tot 40 jaar",40.8
"3395","13","Overijssel","M","30 tot 40 jaar",37.28
"3396","13","Noord Brabant","V","23 tot 30 jaar",39.68
"3397","13","Gelderland","V","30 tot 40 jaar",44.48
"3398","13","Noord Holland","M","Ouder dan 40 jaar",35.2
"3399","13","Noord Holland","V","17 tot 23 jaar",34.08
"3400","13","Zuid Holland","V","23 tot 30 jaar",41.92
"3401","13","Overijssel","V","30 tot 40 jaar",35.04
"3402","13","Noord Brabant","V","30 tot 40 jaar",44.16
"3403","13","Utrecht","V","23 tot 30 jaar",32.96
"3404","13","Overijssel","M","30 tot 40 jaar",40.32
"3405","13","Noord Holland","V","17 tot 23 jaar",35.84
"3406","13","Utrecht","V","23 tot 30 jaar",35.36
"3407","13","Utrecht","V","17 tot 23 jaar",39.2
"3408","13","Zuid Holland","V","23 tot 30 jaar",41.44
"3409","13","Limburg","V","17 tot 23 jaar",31.52
"3410","13","Zuid Holland","V","30 tot 40 jaar",48
"3411","13","Gelderland","V","23 tot 30 jaar",51.04
"3412","13","Noord Brabant","V","23 tot 30 jaar",40.64
"3413","13","Utrecht","V","23 tot 30 jaar",30.24
"3414","13","Zuid Holland","V","Ouder dan 40 jaar",43.2
"3415","13","Flevoland","V","23 tot 30 jaar",40.32
"3416","13","Utrecht","M","23 tot 30 jaar",35.84
"3417","13","Noord Holland","V","23 tot 30 jaar",31.84
"3418","13","Noord Brabant","V","17 tot 23 jaar",43.36
"3419","13","Zuid Holland","V","Ouder dan 40 jaar",31.04
"3420","13","Noord Brabant","M","17 tot 23 jaar",33.44
"3421","13","Zuid Holland","V","Ouder dan 40 jaar",42.56
"3422","13","Noord Brabant","V","30 tot 40 jaar",40.32
"3423","13","Limburg","M","17 tot 23 jaar",38.08
"3424","13","Utrecht","V","23 tot 30 jaar",38.24
"3425","13","Gelderland","V","23 tot 30 jaar",30.24
"3426","13","Limburg","V","23 tot 30 jaar",41.76
"3427","13","Limburg","V","23 tot 30 jaar",43.04
"3428","13","Utrecht","M","Ouder dan 40 jaar",35.84
"3429","13","Zuid Holland","V","30 tot 40 jaar",35.04
"3430","13","Flevoland","V","Ouder dan 40 jaar",37.92
"3431","13","Utrecht","M","23 tot 30 jaar",47.36
"3432","13","Utrecht","V","Ouder dan 40 jaar",37.28
"3433","13","Utrecht","V","23 tot 30 jaar",41.76
"3434","13","Zuid Holland","V","Ouder dan 40 jaar",36.48
"3435","13","Utrecht","V","Ouder dan 40 jaar",31.2
"3436","13","Drenthe","M","17 tot 23 jaar",32
"3437","13","Utrecht","M","Ouder dan 40 jaar",32.8
"3438","13","Frysl<e2>n","V","23 tot 30 jaar",34.88
"3439","13","Noord Holland","M","17 tot 23 jaar",39.04
"3440","13","Noord Holland","M","23 tot 30 jaar",44.48
"3441","13","Noord Brabant","V","17 tot 23 jaar",42.08
"3442","13","Noord Brabant","V","23 tot 30 jaar",30.4
"3443","13","Zuid Holland","V","23 tot 30 jaar",33.28
"3444","13","Zuid Holland","M","23 tot 30 jaar",33.28
"3445","13","Utrecht","V","23 tot 30 jaar",40
"3446","13","Utrecht","M","Ouder dan 40 jaar",33.6
"3447","13","Noord Holland","V","Ouder dan 40 jaar",42.88
"3448","13","Limburg","V","23 tot 30 jaar",36.8
"3449","13","Limburg","V","23 tot 30 jaar",36.8
"3450","13","Utrecht","V","Ouder dan 40 jaar",35.84
"3451","13","Limburg","V","Ouder dan 40 jaar",36.8
"3452","13","Noord Brabant","V","30 tot 40 jaar",45.92
"3453","13","Zuid Holland","M","23 tot 30 jaar",39.68
"3454","13","Utrecht","V","Ouder dan 40 jaar",33.6
"3455","13","Frysl<e2>n","V","Ouder dan 40 jaar",39.36
"3456","13","Noord Brabant","M","Ouder dan 40 jaar",40.64
"3457","13","Zuid Holland","M","30 tot 40 jaar",38.88
"3458","13","Groningen","M","Ouder dan 40 jaar",41.12
"3459","13","Zuid Holland","M","30 tot 40 jaar",31.52
"3460","13","Noord Brabant","V","17 tot 23 jaar",34.08
"3461","13","Utrecht","M","23 tot 30 jaar",41.44
"3462","13","Noord Brabant","M","17 tot 23 jaar",39.2
"3463","13","Noord Holland","V","Ouder dan 40 jaar",44.8
"3464","13","Gelderland","M","Ouder dan 40 jaar",43.04
"3465","13","Noord Holland","V","Ouder dan 40 jaar",38.88
"3466","13","Noord Holland","V","Ouder dan 40 jaar",32
"3467","13","Noord Brabant","V","17 tot 23 jaar",40
